                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0598,                 3.9265,                 4.2846,                 2.7967,                 8.2079,                 4.3613,                0.00073,                0.41667,                0.00116,                0.00043,                  2.905,                 4.0688,                 4.1566,                 2.7597,                 13.501,                 4.1565,             0.00020004,             0.00020004,             0.00020004
                      2,                 3.1352,                 3.8267,                 4.1859,                 2.8545,                 7.5246,                  4.253,                0.00146,                0.43398,                0.00137,                0.00041,                  2.888,                 4.0638,                 4.1311,                 2.7518,                   13.4,                  4.146,             0.00041469,             0.00041469,             0.00041469
                      3,                 3.1034,                 3.7426,                 4.0891,                 2.8302,                 7.2621,                 4.1427,                0.00164,                0.44589,                0.00154,                0.00048,                 2.8655,                 4.0444,                 4.0555,                 2.7337,                 13.077,                 4.1222,             0.00062719,             0.00062719,             0.00062719
                      4,                 3.0199,                 3.6529,                 3.9153,                  2.681,                 6.5954,                 3.9366,                 0.0007,                  0.375,                0.00115,                0.00045,                 2.8512,                 3.9972,                 3.8876,                 2.6141,                 12.125,                 4.0039,             0.00083754,             0.00083754,             0.00083754
                      5,                 3.0387,                 3.5704,                 3.7359,                 2.6149,                 6.2342,                 3.7172,                0.00156,                0.49567,                0.00256,                0.00077,                  2.866,                 3.9622,                 4.1688,                   2.74,                 11.426,                 4.1514,              0.0010458,              0.0010458,              0.0010458
                      6,                 2.8953,                  3.472,                 3.5676,                  2.414,                 5.7381,                 3.4949,                0.00258,                0.49729,                0.00472,                0.00104,                 2.9678,                 3.8494,                 3.4811,                 2.7394,                 10.375,                 3.7492,              0.0012518,              0.0012518,              0.0012518
                      7,                 2.8312,                  3.359,                 3.3773,                 2.3542,                 5.1946,                 3.2729,                0.00212,                0.39177,                0.00358,                0.00079,                 3.0695,                 3.8069,                 3.3718,                 3.0663,                 10.209,                 3.4817,              0.0014557,              0.0014557,              0.0014557
                      8,                 2.7788,                  3.259,                 3.2753,                 2.2386,                 4.8002,                 3.0928,                0.00271,                0.54004,                0.00495,                0.00157,                 2.7868,                 3.6975,                 3.8892,                 2.4697,                 7.2785,                 3.8992,              0.0016092,              0.0016092,              0.0016092
                      9,                 2.6131,                 3.1373,                 3.1401,                 2.1347,                 4.3985,                 2.8689,                0.00284,                0.79275,                0.00621,                0.00165,                 2.7958,                 3.7822,                 3.7468,                  2.445,                 6.3116,                  3.819,              0.0016092,              0.0016092,              0.0016092
                     10,                  2.543,                  3.163,                 3.0784,                 2.0862,                 4.2516,                 2.7812,                0.00332,                0.78139,                0.00871,                0.00212,                 2.9303,                 3.7462,                 3.4289,                  2.531,                 6.0926,                 3.4842,               0.001601,               0.001601,               0.001601
                     11,                 2.5194,                 3.0727,                  3.016,                  2.033,                 4.0828,                 2.6902,                0.00294,                0.77597,                0.04166,                0.01084,                 2.6531,                 3.9725,                 3.9291,                 2.1977,                 5.3079,                 3.6436,              0.0015927,              0.0015927,              0.0015927
                     12,                 2.4208,                 2.9572,                 2.9385,                 1.9364,                 3.8875,                 2.5842,                0.02526,                0.72132,                0.06692,                0.01823,                  2.591,                 5.7496,                 3.4625,                 2.2879,                 5.6279,                 3.4791,              0.0015845,              0.0015845,              0.0015845
                     13,                 2.3194,                 2.8609,                 2.8546,                 1.8867,                 3.6871,                 2.5008,                0.00162,                0.45725,                0.01069,                0.00322,                 2.7194,                 5.0646,                 3.5223,                 2.3181,                 6.1197,                 3.1252,              0.0015762,              0.0015762,              0.0015762
                     14,                 2.2819,                 2.8628,                 2.7923,                   1.91,                 3.6041,                 2.4838,                0.00553,                0.61255,                0.02664,                  0.009,                 2.6301,                 4.7858,                 3.4922,                 2.1763,                 5.1381,                 3.0344,               0.001568,               0.001568,               0.001568
                     15,                 2.2243,                 2.7631,                 2.7472,                 1.8423,                 3.4519,                 2.4186,                0.63441,                0.08782,                0.09128,                0.02781,                 2.8069,                 7.0721,                 3.6221,                 2.4187,                 5.5138,                 3.3155,              0.0015597,              0.0015597,              0.0015597
                     16,                 2.2034,                 2.7358,                 2.7026,                 1.8536,                 3.4118,                 2.4152,                0.57893,                0.13636,                 0.0527,                0.01629,                 2.6683,                 9.3435,                 3.4199,                 2.3015,                 10.916,                 3.0942,              0.0015515,              0.0015515,              0.0015515
                     17,                 2.1882,                 2.6799,                 2.6817,                 1.8298,                 3.2984,                 2.3549,                0.58637,                0.15909,                0.09216,                0.02954,                 2.4163,                 4.7263,                 3.0136,                 1.9867,                 4.8711,                 2.7168,              0.0015432,              0.0015432,              0.0015432
